CalPoint Name	Type	Default	Units	Limits Enabled	Overwrite Cal	X Size	Y Size	ID	Description	Owning VI	Adaptable
Telemetry|MC|tMCTelemetryPeriod	U32Control	100	ms					72		Send MC Telemetry.vi	
Telemetry|TDMS|tTDMSTelemetryPeriod	U32Control	1000	ms					73		Send FPGA Telemetry.vi	
Torque Control|Throttle Maps|NThrottleMapRotaryMap	TBL1D_SGLControl		NRotary|NThrottleMap	T		12		74		Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap0	TBL1D_SGLControl		%|%	T		41		75	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap1	TBL1D_SGLControl		%|%	T		41		76	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap2	TBL1D_SGLControl		%|%	T		41		77	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap3	TBL1D_SGLControl		%|%	T		41		78	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap4	TBL1D_SGLControl		%|%	T		41		79	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap5	TBL1D_SGLControl		%|%	T		41		80	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Torque Maps|NTorqueMapRotaryMap	TBL1D_SGLControl		NRotary|NThrottleMap	T		12		81		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap0	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	82		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap1	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	83		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap2	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	84		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap3	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	85		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap4	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	86		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap5	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	87		Percent to Torque Request.vi	
